country,region,world_region,MPI
Niger,Niamey,Sub-Saharan Africa,0.206
Nigeria,Sokoto,Sub-Saharan Africa,0.548
Nigeria,Zamfara,Sub-Saharan Africa,0.605
Nigeria,Katsina,Sub-Saharan Africa,0.52
Nigeria,Jigawa,Sub-Saharan Africa,0.552
Nigeria,Yobe,Sub-Saharan Africa,0.635
Nigeria,Borno,Sub-Saharan Africa,0.401
Nigeria,Adamawa,Sub-Saharan Africa,0.295
Nigeria,Gombe,Sub-Saharan Africa,0.471
Nigeria,Bauchi,Sub-Saharan Africa,0.583
Nigeria,Kano,Sub-Saharan Africa,0.434
Nigeria,Kaduna,Sub-Saharan Africa,0.311
Nigeria,Kebbi,Sub-Saharan Africa,0.553
Nigeria,Niger,Sub-Saharan Africa,0.324
Nigeria,FCT-Abuja,Sub-Saharan Africa,0.108
Nigeria,Nasarawa,Sub-Saharan Africa,0.251
Nigeria,Plateau,Sub-Saharan Africa,0.273
Nigeria,Taraba,Sub-Saharan Africa,0.448
Nigeria,Benue,Sub-Saharan Africa,0.28
Nigeria,Kogi,Sub-Saharan Africa,0.113
Nigeria,Kwara,Sub-Saharan Africa,0.099
Nigeria,Oyo,Sub-Saharan Africa,0.155
Nigeria,Osun,Sub-Saharan Africa,0.043
Nigeria,Ekiti,Sub-Saharan Africa,0.051
Nigeria,Ondo,Sub-Saharan Africa,0.127
Nigeria,Edo,Sub-Saharan Africa,0.08
Nigeria,Anambra,Sub-Saharan Africa,0.05
Nigeria,Enugu,Sub-Saharan Africa,0.123
Nigeria,Ebonyi,Sub-Saharan Africa,0.265
Nigeria,Cross River,Sub-Saharan Africa,0.146
Nigeria,Akwa Ibom,Sub-Saharan Africa,0.099
Nigeria,Abia,Sub-Saharan Africa,0.088
Nigeria,Imo,Sub-Saharan Africa,0.083
Nigeria,Rivers,Sub-Saharan Africa,0.088
Nigeria,Bayelsa,Sub-Saharan Africa,0.12
Nigeria,Delta,Sub-Saharan Africa,0.107
Nigeria,Lagos,Sub-Saharan Africa,0.035
Nigeria,Ogun,Sub-Saharan Africa,0.112
Nicaragua,Nueva Segovia,Latin America and Caribbean,0.113
Nicaragua,Jinotega,Latin America and Caribbean,0.195
Nicaragua,Madriz,Latin America and Caribbean,0.104
Nicaragua,Esteli,Latin America and Caribbean,0.048
Nicaragua,Chinandega,Latin America and Caribbean,0.047
Nicaragua,Leon,Latin America and Caribbean,0.031
Nicaragua,Matagalpa,Latin America and Caribbean,0.099
Nicaragua,Boaco,Latin America and Caribbean,0.13
Nicaragua,Managua,Latin America and Caribbean,0.021
Nicaragua,Masaya,Latin America and Caribbean,0.017
Nicaragua,Chontales,Latin America and Caribbean,0.082
Nicaragua,Granada,Latin America and Caribbean,0.035
Nicaragua,Carazo,Latin America and Caribbean,0.025
Nicaragua,Rivas,Latin America and Caribbean,0.036
Nicaragua,Rio San Juan,Latin America and Caribbean,0.133
Nicaragua,RAAN,Latin America and Caribbean,0.173
Nicaragua,RAAS,Latin America and Caribbean,0.132
Nepal,Central Hill,South Asia,0.05
Nepal,Central Mountain,South Asia,0.094
Nepal,Central Terai,South Asia,0.199
Nepal,Eastern Hill,South Asia,0.063
Nepal,Eastern Mountain,South Asia,0.133
Nepal,Eastern Terai,South Asia,0.13
Nepal,Far-Western Hill,South Asia,0.226
Nepal,Far-Western Mountain,South Asia,0.144
Nepal,Far-WesternTerai,South Asia,0.092
Nepal,MId-Western Hill,South Asia,0.213
Nepal,MId-Western Mountain,South Asia,0.286
Nepal,MId-WesternTerai,South Asia,0.134
Nepal,Western  Hill,South Asia,0.072
Nepal,Western  Terai,South Asia,0.112
Nepal,Western Mountain,South Asia,0.104
Pakistan,Punjab,South Asia,0.184
Pakistan,Sindh,South Asia,0.294
Pakistan,Khyber Pakhtunkhwa,South Asia,0.247
Pakistan,Balochistan,South Asia,0.402
Pakistan,Gilgit Baltistan,South Asia,0.233
Pakistan,Islamabad (ICT),South Asia,0.039
Peru,Amazonas,Latin America and Caribbean,0.096
Peru,ðncash,Latin America and Caribbean,0.044
Peru,Apurðmac,Latin America and Caribbean,0.091
Peru,Arequipa,Latin America and Caribbean,0.009
Peru,Ayacucho,Latin America and Caribbean,0.071
Peru,Cajamarca,Latin America and Caribbean,0.089
Peru,Callao,Latin America and Caribbean,0.2324
Peru,Cusco,Latin America and Caribbean,0.062
Peru,Huancavelica,Latin America and Caribbean,0.122
Peru,Huðnuco,Latin America and Caribbean,0.111
Peru,Ica,Latin America and Caribbean,0.009
Peru,Junðn,Latin America and Caribbean,0.042
Peru,La Libertad,Latin America and Caribbean,0.042
Peru,Lambayeque,Latin America and Caribbean,0.038
Peru,Lima,Latin America and Caribbean,0.004
Peru,Loreto,Latin America and Caribbean,0.147
Peru,Madre de Dios,Latin America and Caribbean,0.024
Peru,Moquegua,Latin America and Caribbean,0.014
Peru,Pasco,Latin America and Caribbean,0.064
Peru,Piura,Latin America and Caribbean,0.05
Peru,Puno,Latin America and Caribbean,0.069
Peru,San Martðn,Latin America and Caribbean,0.061
Peru,Tacna,Latin America and Caribbean,0.008
Peru,Tumbes,Latin America and Caribbean,0.014
Peru,Ucayali,Latin America and Caribbean,0.046
Philippines,National Capital Region,East Asia and the Pacific,0.026
Philippines,Cordillera Admin Region,East Asia and the Pacific,0.039
Philippines,Ilocos Region,East Asia and the Pacific,0.027
Philippines,Cagayan Valley,East Asia and the Pacific,0.039
Philippines,Central Luzon,East Asia and the Pacific,0.035
Philippines,Calabarzon,East Asia and the Pacific,0.029
Philippines,Mimaropa,East Asia and the Pacific,0.091
Philippines,Bicol Region,East Asia and the Pacific,0.068
Philippines,Western Visayas,East Asia and the Pacific,0.055
Philippines,Central Visayas,East Asia and the Pacific,0.055
Philippines,Eastern Visayas,East Asia and the Pacific,0.054
Philippines,Zamboanga Peninsula,East Asia and the Pacific,0.075
Philippines,Northern Mindanao,East Asia and the Pacific,0.093
Philippines,Davao Peninsula,East Asia and the Pacific,0.066
Philippines,Soccsksargen,East Asia and the Pacific,0.09
Philippines,CARAGA,East Asia and the Pacific,0.069
Philippines,Armm,East Asia and the Pacific,0.14
"Palestine, State ofa",,Arab States,0.611
Rwanda,East,Sub-Saharan Africa,0.292
Rwanda,Kigali City,Sub-Saharan Africa,0.118
Rwanda,North,Sub-Saharan Africa,0.243
Rwanda,South,Sub-Saharan Africa,0.295
Rwanda,West,Sub-Saharan Africa,0.266
Sudan,Blue Nile,Arab States,0.382
Sudan,Central Darfor,Arab States,0.501
Sudan,East Darfor,Arab States,0.481
Sudan,Gadarif,Arab States,0.404
Sudan,Gezira,Arab States,0.165
Sudan,Kassala,Arab States,0.362
Sudan,Khartoum,Arab States,0.077
Sudan,North Darfor,Arab States,0.447
Sudan,North Kordofan,Arab States,0.328
Sudan,Northern,Arab States,0.047
Sudan,Red Sea,Arab States,0.223
Sudan,River Nile,Arab States,0.092
Sudan,Sinnar,Arab States,0.277
Sudan,South Darfor,Arab States,0.42
Sudan,South Kordofan,Arab States,0.422
Sudan,West Darfor,Arab States,0.458
Sudan,West Kordofan,Arab States,0.468
Sudan,White Nile,Arab States,0.267
Senegal,Center,Sub-Saharan Africa,0.449
Senegal,North,Sub-Saharan Africa,0.373
Senegal,Ouest,Sub-Saharan Africa,0.156
Senegal,South,Sub-Saharan Africa,0.425
Sierra Leone,Kailahun,Sub-Saharan Africa,0.537
Sierra Leone,Kenema,Sub-Saharan Africa,0.477
Sierra Leone,Kono,Sub-Saharan Africa,0.511
Sierra Leone,Bombali,Sub-Saharan Africa,0.423
Sierra Leone,Kambia,Sub-Saharan Africa,0.58
Sierra Leone,Koinadugu,Sub-Saharan Africa,0.601
Sierra Leone,Port Loko,Sub-Saharan Africa,0.522
Sierra Leone,Tonkolili,Sub-Saharan Africa,0.541
Sierra Leone,Bo,Sub-Saharan Africa,0.449
Sierra Leone,Bonthe,Sub-Saharan Africa,0.478
Sierra Leone,Moyamba,Sub-Saharan Africa,0.569
Sierra Leone,Pujehun,Sub-Saharan Africa,0.537
Sierra Leone,Western Rural,Sub-Saharan Africa,0.319
Sierra Leone,Western Urban,Sub-Saharan Africa,0.191
El Salvador,Ahuachapan,Latin America and Caribbean,0.03
El Salvador,Cabanas,Latin America and Caribbean,0.046
El Salvador,Chalatenango,Latin America and Caribbean,0.036
El Salvador,Cuscatlan,Latin America and Caribbean,0.025
El Salvador,La Libertad,Latin America and Caribbean,0.017
El Salvador,La Paz,Latin America and Caribbean,0.03
El Salvador,La Union,Latin America and Caribbean,0.054
El Salvador,Morazan,Latin America and Caribbean,0.04
El Salvador,San Miguel,Latin America and Caribbean,0.03
El Salvador,San Salvador,Latin America and Caribbean,0.01
El Salvador,San Vicente,Latin America and Caribbean,0.02
El Salvador,Santa Ana,Latin America and Caribbean,0.027
El Salvador,Sonsonate,Latin America and Caribbean,0.046
El Salvador,Usulutan,Latin America and Caribbean,0.03
Somalia,,Arab States,0.466
Serbia,,Europe and Central Asia,0.387
South Sudan,Upper Nile,Sub-Saharan Africa,0.503
South Sudan,Jonglei and Unity,Sub-Saharan Africa,0.628
South Sudan,Warap,Sub-Saharan Africa,0.661
South Sudan,Northern Bahr el Ghazal,Sub-Saharan Africa,0.652
South Sudan,Western Bahr el Ghazal,Sub-Saharan Africa,0.491
South Sudan,Lakes,Sub-Saharan Africa,0.605
South Sudan,Western Equatoria,Sub-Saharan Africa,0.456
South Sudan,Central Equatoria,Sub-Saharan Africa,0.391
South Sudan,Eastern Equatoria,Sub-Saharan Africa,0.561
Sao Tome and Principe,Regio Autonoma de Principe,Sub-Saharan Africa,0.092
Sao Tome and Principe,Regio Centro Este,Sub-Saharan Africa,0.059
Sao Tome and Principe,Regio Norte Oeste,Sub-Saharan Africa,0.132
Sao Tome and Principe,Regio Sul Este,Sub-Saharan Africa,0.117
Suriname,Paramaribo,Latin America and Caribbean,0.007
Suriname,Wanica,Latin America and Caribbean,0.013
Suriname,Nickerie,Latin America and Caribbean,0.012
Suriname,Coronie,Latin America and Caribbean,0.006
Suriname,Saramacca,Latin America and Caribbean,0.011
Suriname,Commewijne,Latin America and Caribbean,0.008
Suriname,Marowijne,Latin America and Caribbean,0.026
Suriname,Para,Latin America and Caribbean,0.023
Suriname,Brokopondo,Latin America and Caribbean,0.057
Suriname,Sipaliwini,Latin America and Caribbean,0.172
Swaziland,Hhohho,Sub-Saharan Africa,0.054
Swaziland,Lubombo,Sub-Saharan Africa,0.098
Swaziland,Manzini,Sub-Saharan Africa,0.041
Swaziland,Shiselweni,Sub-Saharan Africa,0.101
Syrian Arab Republic,Damascus,Arab States,0.003
Syrian Arab Republic,Halab,Arab States,0.026
Syrian Arab Republic,Rural Damascus,Arab States,0.009
Syrian Arab Republic,Hums,Arab States,0.007
Syrian Arab Republic,Hama,Arab States,0.01
Syrian Arab Republic,Latequia,Arab States,0.004
Syrian Arab Republic,Edlb,Arab States,0.019
Syrian Arab Republic,Hasaka,Arab States,0.028
Syrian Arab Republic,Dir Ezor,Arab States,0.047
Syrian Arab Republic,Tortous,Arab States,0.2366
Syrian Arab Republic,Raqa,Arab States,0.028
Syrian Arab Republic,Daraa,Arab States,0.011
Syrian Arab Republic,As-swidaa,Arab States,0.002
Syrian Arab Republic,Qonitara,Arab States,0.011
Chad,Barh El Gazal,Sub-Saharan Africa,0.654
Chad,Batha,Sub-Saharan Africa,0.659
Chad,Borkou/Tibesti,Sub-Saharan Africa,0.537
Chad,Chari Baguirmi,Sub-Saharan Africa,0.646
Chad,Ennedi,Sub-Saharan Africa,0.625
Chad,GuðRa,Sub-Saharan Africa,0.643
Chad,Hadjer-Lamis,Sub-Saharan Africa,0.654
Chad,Kanem,Sub-Saharan Africa,0.696
Chad,Lac,Sub-Saharan Africa,0.744
Chad,Logone Occidental,Sub-Saharan Africa,0.44
Chad,Logone Oriental,Sub-Saharan Africa,0.504
Chad,Mandoul,Sub-Saharan Africa,0.529
Chad,Mayo Kebbi Est,Sub-Saharan Africa,0.509
Chad,Mayo Kebbi Ouest,Sub-Saharan Africa,0.479
Chad,Moyen Chari,Sub-Saharan Africa,0.411
Chad,N'DjamðNa,Sub-Saharan Africa,0.257
Chad,Ouaddað,Sub-Saharan Africa,0.683
Chad,Salamat,Sub-Saharan Africa,0.678
Chad,Sila,Sub-Saharan Africa,0.697
Chad,Tandjilð,Sub-Saharan Africa,0.487
Chad,Wadi Fira,Sub-Saharan Africa,0.709
Togo,Commune de Lome,Sub-Saharan Africa,0.067
Togo,Region Maritime,Sub-Saharan Africa,0.243
Togo,Region des Plateaux,Sub-Saharan Africa,0.325
Togo,Region Centrale,Sub-Saharan Africa,0.236
Togo,Region de la Kara,Sub-Saharan Africa,0.324
Togo,Region des Savanes,Sub-Saharan Africa,0.439
Thailand,,East Asia and the Pacific,0.611
Tajikistan,Dushanbe,Europe and Central Asia,0.021
Tajikistan,Gorno-Badakhshan Autonomous Oblast,Europe and Central Asia,0.048
Tajikistan,Sughd,Europe and Central Asia,0.033
Tajikistan,Districts of Republican Subordination,Europe and Central Asia,0.045
Tajikistan,Khatlon,Europe and Central Asia,0.086
Turkmenistan,,Europe and Central Asia,0.466
Timor-Leste,Aileu,East Asia and the Pacific,0.379
Timor-Leste,Ainaro,East Asia and the Pacific,0.444
Timor-Leste,Baucau,East Asia and the Pacific,0.357
Timor-Leste,Bobonaro,East Asia and the Pacific,0.406
Timor-Leste,Cova Lima,East Asia and the Pacific,0.31
Timor-Leste,Dili,East Asia and the Pacific,0.127
Timor-Leste,Ermera,East Asia and the Pacific,0.497
Timor-Leste,Liquica,East Asia and the Pacific,0.387
Timor-Leste,Lautem,East Asia and the Pacific,0.373
Timor-Leste,Manufahi,East Asia and the Pacific,0.353
Timor-Leste,Manatuto,East Asia and the Pacific,0.295
Timor-Leste,Oecussi,East Asia and the Pacific,0.508
Timor-Leste,Viqueque,East Asia and the Pacific,0.41
Trinidad and Tobago,North West,Latin America and Caribbean,0.023
Trinidad and Tobago,Eastern,Latin America and Caribbean,0.026
Trinidad and Tobago,North Central,Latin America and Caribbean,0.02
Trinidad and Tobago,South West,Latin America and Caribbean,0.016
Trinidad and Tobago,Tobago,Latin America and Caribbean,0.019
Tunisia,,Arab States,0.466
"Tanzania, United Republic of",Central,Sub-Saharan Africa,0.332
"Tanzania, United Republic of",Eastern,Sub-Saharan Africa,0.145
"Tanzania, United Republic of",Lake,Sub-Saharan Africa,0.346
"Tanzania, United Republic of",Northern,Sub-Saharan Africa,0.2
"Tanzania, United Republic of",South West Highlands,Sub-Saharan Africa,0.312
"Tanzania, United Republic of",Southern,Sub-Saharan Africa,0.296
"Tanzania, United Republic of",Southern Highlands,Sub-Saharan Africa,0.226
"Tanzania, United Republic of",Western,Sub-Saharan Africa,0.397
"Tanzania, United Republic of",Zanzibar,Sub-Saharan Africa,0.143
Uganda,Kampala,Sub-Saharan Africa,0.076
Uganda,Central 1,Sub-Saharan Africa,0.3
Uganda,Central 2,Sub-Saharan Africa,0.294
Uganda,East Central,Sub-Saharan Africa,0.371
Uganda,Eastern,Sub-Saharan Africa,0.417
Uganda,North,Sub-Saharan Africa,0.431
Uganda,Karamoja,Sub-Saharan Africa,0.634
Uganda,West Nile,Sub-Saharan Africa,0.484
Uganda,Western,Sub-Saharan Africa,0.346
Uganda,Southwest,Sub-Saharan Africa,0.4
Ukraine,,Europe and Central Asia,0.611
Uzbekistan,Western,Europe and Central Asia,0.007
Uzbekistan,Central,Europe and Central Asia,0.011
Uzbekistan,Southern,Europe and Central Asia,0.016
Uzbekistan,Central-Eastern,Europe and Central Asia,0.004
Uzbekistan,Eastern,Europe and Central Asia,0.006
Uzbekistan,Tashkent,Europe and Central Asia,0.001
Viet Nam,Red River Delta,East Asia and the Pacific,0.013
Viet Nam,Northern Midlands and Mountain area,East Asia and the Pacific,0.064
Viet Nam,North Central and Central Coastal area,East Asia and the Pacific,0.024
Viet Nam,Central Highlands,East Asia and the Pacific,0.057
Viet Nam,South East,East Asia and the Pacific,0.017
Viet Nam,Mekong River Delta,East Asia and the Pacific,0.03
Vanuatu,,East Asia and the Pacific,0.611
Yemen,Ibb,Arab States,0.2
Yemen,Abyan,Arab States,0.136
Yemen,Sanaa City,Arab States,0.057
Yemen,Al-Baidha,Arab States,0.191
Yemen,Taiz,Arab States,0.207
Yemen,Al-Jawf,Arab States,0.214
Yemen,Hajjah,Arab States,0.447
Yemen,Al-Hodiedah,Arab States,0.343
Yemen,Hadramout,Arab States,0.12
Yemen,Dhamar,Arab States,0.325
Yemen,Shabwah,Arab States,0.163
Yemen,Sadah,Arab States,0.278
Yemen,Sanaa,Arab States,0.255
Yemen,Aden,Arab States,0.062
Yemen,Lahj,Arab States,0.176
Yemen,Mareb,Arab States,0.214
Yemen,Al-Mhweit,Arab States,0.349
Yemen,Al-Mhrah,Arab States,0.105
Yemen,Amran,Arab States,0.322
Yemen,Aldhalae,Arab States,0.2
Yemen,Reimah,Arab States,0.381
South Africa,,Sub-Saharan Africa,0.466
Zambia,Central,Sub-Saharan Africa,0.292
Zambia,Copperbelt,Sub-Saharan Africa,0.158
Zambia,Eastern,Sub-Saharan Africa,0.369
Zambia,Luapula,Sub-Saharan Africa,0.392
Zambia,Lusaka,Sub-Saharan Africa,0.112
Zambia,Muchinga,Sub-Saharan Africa,0.368
Zambia,Northern,Sub-Saharan Africa,0.397
Zambia,North Western,Sub-Saharan Africa,0.334
Zambia,Southern,Sub-Saharan Africa,0.301
Zambia,Western,Sub-Saharan Africa,0.399
Zimbabwe,Bulawayo,Sub-Saharan Africa,0.014
Zimbabwe,Harare,Sub-Saharan Africa,0.038
Zimbabwe,Manicaland,Sub-Saharan Africa,0.168
Zimbabwe,Mashonaland Central,Sub-Saharan Africa,0.21
Zimbabwe,Mashonaland East,Sub-Saharan Africa,0.14
Zimbabwe,Mashonaland West,Sub-Saharan Africa,0.192
Zimbabwe,Masvingo,Sub-Saharan Africa,0.174
Zimbabwe,Matabeleland North,Sub-Saharan Africa,0.238
Zimbabwe,Matabeleland South,Sub-Saharan Africa,0.164
Zimbabwe,Midlands,Sub-Saharan Africa,0.176